temperature,humidity,wind_speed,cloudiness,weather
23.4,61.1,26.6,76.3,cloudy
11.9,52.0,13.9,89.6,cloudy
26.8,34.9,1.9,23.1,sunny
34.1,20.4,3.2,3.1,sunny
-2.0,68.1,9.5,74.2,snowy
38.7,37.3,13.2,9.1,sunny
19.5,85.0,23.6,94.5,rainy
22.6,15.5,10.5,16.7,sunny
-5.8,71.5,21.1,88.3,snowy
22.4,37.7,13.3,9.0,sunny
5.0,95.0,40.9,99.6,rainy
14.8,69.4,28.9,73.2,cloudy
12.7,84.3,36.1,90.7,rainy
-12.4,52.2,9.7,77.2,snowy
21.9,52.9,22.2,58.6,cloudy
9.9,84.3,19.4,82.5,rainy
20.8,62.1,5.1,79.0,cloudy
23.2,20.4,13.0,21.2,sunny
6.4,98.4,23.0,89.2,rainy
12.2,62.5,22.5,75.4,cloudy
-13.7,58.1,11.9,87.2,snowy
-11.3,64.9,24.9,88.8,snowy
23.2,88.6,28.6,81.9,rainy
-1.8,69.8,32.5,85.6,snowy
29.6,20.5,11.9,14.6,sunny
18.6,98.7,25.9,97.9,rainy
21.8,95.5,42.9,83.4,rainy
17.9,94.4,10.1,96.5,rainy
22.0,76.2,38.1,85.6,rainy
20.8,81.6,36.5,94.1,rainy
19.4,50.1,25.8,89.6,cloudy
27.8,48.6,14.4,57.0,cloudy
-8.1,72.2,37.4,91.5,snowy
18.9,67.1,15.6,90.6,cloudy
-13.7,63.7,9.4,90.8,snowy
31.7,17.6,15.0,9.9,sunny
23.6,20.6,6.3,7.3,sunny
-2.8,63.5,29.0,71.8,snowy
22.0,47.3,26.8,55.1,cloudy
11.9,78.1,13.7,89.2,rainy
27.7,36.2,5.6,13.0,sunny
9.7,90.6,26.6,91.3,rainy
23.5,44.1,11.0,19.4,sunny
-5.0,53.7,28.3,89.8,snowy
-6.5,62.5,13.3,70.0,snowy
-1.1,68.8,16.5,99.1,snowy
32.7,21.4,12.1,3.5,sunny
39.1,31.6,5.4,13.1,sunny
35.9,43.5,7.1,20.6,sunny
-8.5,79.5,29.8,87.4,snowy
27.5,59.4,20.0,88.3,cloudy
10.4,87.7,12.3,90.8,rainy
39.6,38.3,12.8,14.7,sunny
21.3,64.4,20.2,88.9,cloudy
20.5,65.5,14.5,93.6,cloudy
18.7,55.2,23.0,80.5,cloudy
-6.3,54.7,18.9,95.9,snowy
33.7,37.0,5.1,16.9,sunny
-8.2,55.5,6.9,89.4,snowy
23.2,79.8,25.8,87.9,rainy
-9.8,76.9,33.9,86.1,snowy
-4.0,53.1,11.9,93.2,snowy
11.0,59.2,8.2,81.4,cloudy
13.4,82.3,42.6,99.5,rainy
-14.2,59.2,9.2,94.9,snowy
25.1,28.5,12.8,20.9,sunny
6.3,91.3,44.5,93.9,rainy
16.6,62.3,17.3,64.0,cloudy
34.7,17.1,7.3,3.5,sunny
39.1,35.5,8.8,20.1,sunny
7.5,100.0,46.5,81.2,rainy
20.9,62.3,23.2,60.0,cloudy
37.4,31.4,1.4,24.1,sunny
26.9,52.2,26.3,82.5,cloudy
16.8,50.2,25.3,57.4,cloudy
-4.0,50.4,32.4,89.3,snowy
19.4,68.7,23.6,77.3,cloudy
-6.4,50.8,14.6,100.0,snowy
25.1,16.0,10.9,16.9,sunny
8.3,81.4,31.0,82.3,rainy
9.6,65.4,9.8,64.3,cloudy
5.7,80.3,44.5,80.9,rainy
29.3,33.5,5.4,9.9,sunny
27.4,27.3,0.9,6.2,sunny
-5.4,68.8,8.5,85.1,snowy
22.3,31.4,18.6,9.8,sunny
-1.3,78.7,22.0,87.4,snowy
-12.9,66.2,9.2,87.4,snowy
22.0,62.7,22.2,83.7,cloudy
7.1,79.4,37.4,86.8,rainy
5.1,77.3,15.7,95.8,rainy
27.5,61.6,29.8,68.6,cloudy
7.5,98.8,49.2,91.2,rainy
17.3,82.2,43.4,94.1,rainy
24.3,20.2,11.3,15.6,sunny
17.5,46.3,19.9,59.9,cloudy
-12.8,68.6,5.6,88.0,snowy
24.8,60.8,6.8,66.8,cloudy
18.1,46.8,14.1,81.0,cloudy
35.4,23.4,19.5,18.8,sunny
16.2,64.9,11.1,90.8,cloudy
22.8,60.4,23.1,62.3,cloudy
11.6,93.6,11.5,99.5,rainy
21.4,97.0,37.8,86.7,rainy
40.0,31.6,6.2,16.5,sunny
29.0,32.2,1.2,4.6,sunny
22.3,76.8,19.8,85.2,rainy
24.4,31.6,18.8,2.1,sunny
-4.9,61.4,30.6,76.4,snowy
6.6,86.4,39.6,84.8,rainy
-1.1,74.7,14.0,77.8,snowy
10.2,62.7,8.0,73.8,cloudy
-15.0,55.5,36.6,73.2,snowy
27.5,68.9,17.4,81.9,cloudy
24.9,38.6,17.8,2.3,sunny
-14.3,66.5,18.4,94.1,snowy
13.0,92.6,10.1,88.9,rainy
-3.9,54.4,35.5,89.3,snowy
23.4,84.1,31.8,99.9,rainy
28.0,21.4,14.2,20.2,sunny
38.9,37.2,10.0,14.3,sunny
25.7,53.7,22.0,66.9,cloudy
20.2,89.0,43.8,88.6,rainy
-7.3,71.9,6.4,78.1,snowy
21.8,82.8,32.5,86.0,rainy
15.9,91.8,44.8,82.6,rainy
-1.3,72.7,24.3,93.6,snowy
26.2,69.8,14.0,73.6,cloudy
23.0,81.7,24.5,90.5,rainy
-10.0,75.8,15.2,70.8,snowy
27.2,56.9,14.5,88.1,cloudy
-14.7,70.3,38.0,96.2,snowy
-4.9,52.2,30.6,74.1,snowy
12.4,49.8,7.1,58.3,cloudy
